year(Fecha);Ciudad;Semana;RH;PS,,
2016;Medellin;14;84,67428571;81,67571429
2016;Barranquilla;14;75,82714286;100,6542857
2017;Cali;14;84,27714286;79,24142857
2017;Medellin;14;85,99714286;81,58
2017;Barranquilla;14;76,63142857;100,4728571
2018;Bogota;14;87,37714286;82,31571429
2018;Medellin;14;89,50142857;81,59428571
2018;Barranquilla;14;76,52857143;100,6714286
2019;Bogota;14;85,04285714;82,41
2019;Cali;14;88,25428571;79,35857143
2019;Medellin;14;90,31571429;81,7
2019;Barranquilla;14;72,16285714;100,6928571
2020;Bogota;14;78,88571429;82,29714286
2020;Cali;14;83,46428571;79,24714286
2020;Barranquilla;14;79,17857143;100,5485714
2010;Bogota;15;85,60428571;82,31142857
2010;Cali;15;87,11714286;79,25
2010;Medellin;15;90,05285714;81,58714286
2011;Barranquilla;15;74,36;100,6814286
2011;Bogota;15;86,35428571;82,31428571
2011;Medellin;15;91,00571429;81,58
2012;Barranquilla;15;76,76571429;100,7457143
2012;Bogota;15;89,01571429;82,4
2012;Cali;15;88,86285714;79,33142857
2012;Medellin;15;90,61857143;81,65
2013;Bogota;15;79,53857143;82,23857143
2013;Cali;15;84,91285714;79,19285714
2013;Medellin;15;88,96714286;81,53857143
2013;Barranquilla;15;74,72285714;100,3928571
2014;Bogota;15;78,91571429;82,25857143
2014;Cali;15;82,77142857;79,20571429
2014;Medellin;15;87,63857143;81,55285714
2014;Barranquilla;15;72,77857143;100,4442857
2015;Bogota;15;79,58857143;82,34714286
2015;Cali;15;84,09;79,27428571
2015;Medellin;15;90,08714286;81,62285714
2015;Barranquilla;15;77,12285714;100,54
2016;Bogota;15;81,77285714;82,31142857
2016;Cali;15;87,19142857;79,27285714
2016;Medellin;15;87,84571429;81,58142857
2016;Barranquilla;15;74,50571429;100,5814286
2017;Bogota;15;84,22857143;82,29285714
2017;Cali;15;87,63;79,20714286
2017;Medellin;15;90,20714286;81,54571429
2017;Barranquilla;15;77,58571429;100,5628571
2018;Bogota;15;86,44428571;82,41285714
2018;Cali;15;86,97428571;79,35714286
2018;Medellin;15;91,11714286;81,68285714
2018;Barranquilla;15;74,26714286;100,6971429
2019;Bogota;15;85,45714286;82,33714286
2019;Cali;15;87,47142857;79,28142857
2019;Medellin;15;89,55142857;81,61428571
2019;Barranquilla;15;76,57142857;100,5114286
2020;Bogota;15;78,54714286;82,39142857
2020;Cali;15;84,83428571;79,34857143
2020;Medellin;15;87,63714286;81,68857143
2020;Barranquilla;15;75,37285714;100,5742857
2010;Barranquilla;16;83,59285714;100,5471429
2010;Bogota;16;79,59857143;82,37714286
2010;Cali;16;83,57428571;79,3
2010;Medellin;16;86,52;81,65142857
2011;Barranquilla;16;74,00428571;100,6928571
2011;Bogota;16;89,17857143;82,32
2011;Cali;16;89,89857143;79,24714286
2011;Medellin;16;92,63285714;81,58
2012;Barranquilla;16;76,95428571;100,5928571
2012;Bogota;16;88,65714286;82,35142857
2012;Cali;16;87,23285714;79,27571429
2012;Medellin;16;88,09714286;81,62
2013;Barranquilla;16;77,50714286;100,5757143
2013;Bogota;16;85,92857143;82,35
2013;Cali;16;88,77142857;79,28714286
2013;Medellin;16;91,08142857;81,60428571
2014;Bogota;16;81,85285714;82,27571429
2014;Cali;16;87,35;79,21571429
2014;Medellin;16;90,18571429;81,55714286
2014;Barranquilla;16;77,21428571;100,4885714
2015;Bogota;16;82,63714286;82,33285714
2015;Cali;16;87,31;79,25285714
2015;Medellin;16;89,20714286;81,61142857
2015;Barranquilla;16;80,72857143;100,5628571
2016;Bogota;16;78,48428571;82,30142857
2016;Cali;16;82,28;79,24857143
2016;Medellin;16;86,75571429;81,57
2016;Barranquilla;16;80,64285714;100,4728571
2017;Bogota;16;82,47;82,36571429
2017;Cali;16;87,06142857;79,30285714
2017;Medellin;16;89,51428571;81,63571429
2017;Barranquilla;16;81,73857143;100,5914286
2018;Bogota;16;82,69;82,37142857
2018;Cali;16;85,83857143;79,28142857
2018;Medellin;16;89,76571429;81,65
2018;Barranquilla;16;81,13;100,6071429
2019;Bogota;16;86,03714286;82,36285714
2019;Cali;16;88,73571429;79,3
2019;Medellin;16;91,55571429;81,62
2019;Barranquilla;16;78,04857143;100,5914286
2020;Cali;16;85,54714286;79,39714286
2020;Medellin;16;87,85714286;81,73571429
2020;Barranquilla;16;72,96857143;100,7057143
